,index_left,station,geometry
165,1750.0,7188,POINT (-8840963.03672101 5409386.599557879)
166,2004.0,7189,POINT (-8838954.129320541 5412017.08187937)
167,2007.0,7190,POINT (-8838552.11011149 5413551.827920069)
168,1882.0,7191,POINT (-8839646.547685225 5413280.182551397)
169,1758.0,7192,POINT (-8840509.273738872 5413039.981637249)
170,1628.0,7193,POINT (-8841828.854982736 5410369.349049009)
171,3007.0,7194,POINT (-8830565.437584782 5417680.457423187)
172,1882.0,7195,POINT (-8839757.075570751 5412976.277894227)
173,1695.0,7196,POINT (-8841326.581440277 5412830.099468023)
174,1691.0,7197,POINT (-8841300.900033752 5410493.1282026665)
175,1566.0,7198,POINT (-8842422.9671051 5410037.76623515)
176,1881.0,7199,POINT (-8839787.99765153 5412420.641218585)
177,2251.0,7202,POINT (-8836841.196329692 5411713.449544349)
178,1998.0,7203,POINT (-8838573.093835505 5409205.921754103)
179,1756.0,7204,POINT (-8840870.282847514 5412206.943702257)
180,1569.0,7205,POINT (-8842076.231381567 5411865.038298175)
181,1817.0,7206,POINT (-8840071.899459545 5411634.754471503)
182,1754.0,7207,POINT (-8840653.766437922 5411394.904024108)
183,1818.0,7208,POINT (-8840399.846679423 5412406.3489744635)
184,1693.0,7209,POINT (-8841148.569205668 5411608.616949224)
185,1568.0,7210,POINT (-8842447.296598254 5411053.06251059)
186,1937.0,7211,POINT (-8839447.95371365 5409496.474308006)
187,1876.0,7216,POINT (-8839843.616579778 5410052.487234207)
